tahun_kelahiran,pendidikan,status_pernikahan,pendapatan,jumlah_anak_balita,jumlah_anak_remaja,terakhir_belanja,belanja_buah,belanja_daging,belanja_ikan,belanja_kue,pembelian_diskon,pembelian_web,pembelian_toko,keluhan,tanggal_menjadi_anggota
1957,Sarjana,Rencana Menikah,111318457,0,1,64,31589,229295,17973,2139,5,,7,0,
1968,,Cerai Mati,71839353,1,0,36,12583,22563,0,4113,0,0,5,0,
1972,,Menikah,101938145,0,0,38,18146,97034,68421,28368,0,5,2,0,
1969,Magister,Sendiri,73085914,1,1,100,5244,26400,7210,6724,3,1,3,0,
1967,Sarjana,Menikah,8543000,,1,0,2023,14161,2023,,2,27,0,0,10/3/2013
1954,Magister,Rencana Menikah,117238906,0,1,69,3458,136371,2870,25572,1,4,11,0,
1944,Sarjana,,49163527,0,0,2,8215,4938,4653,8861,0,1,4,0,
1971,Doktor,Rencana Menikah,57964000,1,0,86,2023,42483,0,4046,3,2,5,0,7/4/2013
1949,Doktor,Rencana Menikah,147953000,0,1,57,147679,349979,28322,26299,3,6,13,0,1/23/2014
1977,Sarjana,Menikah,136464000,0,1,22,38437,736372,40460,103173,5,8,9,0,9/8/2012
1956,SMA,Rencana Menikah,151796423,0,0,30,198915,524880,145106,219443,2,4,8,0,
1966,SMA,Rencana Menikah,171771140,0,0,69,50638,701899,307211,58125,,5,7,0,
1976,SMA,Rencana Menikah,120262915,0,1,31,54117,223804,163870,121540,0,10,8,0,
1967,Sarjana,Rencana Menikah,80085386,0,0,45,9583,30559,11553,9422,1,0,,0,
1980,Sarjana,Rencana Menikah,147400000,0,0,58,182070,752556,202300,165886,1,10,7,0,5/2/2014
1987,Sarjana,Sendiri,81476049,,0,101,38415,27767,2120,26538,0,1,5,0,
1967,Sarjana,Cerai,147856000,0,1,0,76874,362117,0,8092,1,8,10,0,12/16/2012
1977,SMA,Rencana Menikah,100767199,0,0,53,32629,3048446,45768,36117,0,0,3,0,
1985,Sarjana,Menikah,187973745,0,0,82,223502,811554,147453,273163,0,4,7,0,
1968,Magister,Sendiri,77000492,1,0,,14550,177368,43940,23874,4,4,5,0,
1966,Sarjana,Menikah,155173842,0,0,64,51651,842478,87659,72723,1,5,12,0,
1970,SMA,Rencana Menikah,192106244,0,0,17,42896,806968,180072,216989,0,5,8,0,
1969,Doktor,Rencana Menikah,136018484,0,0,66,73673,930731,94666,82405,1,5,,0,
1969,Sarjana,Rencana Menikah,185326028,0,0,41,282185,1487059,348588,300467,0,3,10,,
1965,Magister,,145981885,0,1,87,74245,205515,14196,5919,3,7,,0,
1958,Magister,Rencana Menikah,165300739,0,0,85,206346,1599943,23830,117753,0,6,8,0,
1945,Doktor,Menikah,129321000,,0,67,,568463,151725,86989,0,5,4,0,5/16/2013
1969,Sarjana,Rencana Menikah,147215196,0,0,53,31308,826261,173885,35890,0,9,11,0,
1954,Sarjana,Sendiri,96261000,0,1,59,82943,171955,99127,20230,7,,3,0,10/23/2012
1967,Magister,Sendiri,122675586,0,1,93,3707,84611,4110,,6,2,4,0,
1977,Sarjana,Rencana Menikah,168212951,0,0,84,169399,917986,400889,244821,2,8,8,0,
1963,Sarjana,Sendiri,130340055,0,0,66,29933,558998,103943,40850,1,3,7,0,
1945,Magister,Menikah,117490417,,0,74,15450,219634,6326,19565,1,7,7,0,
1953,Sarjana,Sendiri,,0,0,56,297842,465624,184115,169633,1,7,11,0,
1957,Magister,Menikah,160443289,0,0,,28668,1147786,120965,60492,0,2,8,0,
1912,Doktor,Rencana Menikah,170019169,0,0,37,243851,1140397,186836,135737,2,4,5,0,
1950,Magister,Cerai,73909000,0,0,61,2023,167909,,10115,1,9,6,0,6/16/2013
1951,Magister,Menikah,138288898,0,0,23,2647,454173,216688,197856,3,6,12,0,
1975,Magister,Sendiri,99740644,1,0,62,13973,140737,4192,11032,3,4,3,0,
1955,Magister,Menikah,159160000,0,1,27,113288,481474,80920,0,0,11,5,0,2/8/2014
1989,Sarjana,Sendiri,18118000,1,,94,0,20230,0,2023,0,2,4,0,12/18/2013
1961,Doktor,Rencana Menikah,92212335,0,0,46,18907,41406,2619,,4,5,5,0,
1957,Sarjana,Rencana Menikah,136893944,0,1,88,221429,,148184,188097,4,10,6,0,
1965,Sarjana,Menikah,38682689,0,0,32,6007,13339,13498,12358,0,,2,0,
1948,Magister,Rencana Menikah,162320000,0,0,58,58667,1282582,36414,89012,2,6,5,0,12/10/2013
1953,Magister,Cerai,141445000,0,0,72,20230,436968,34391,30345,1,6,12,0,6/2/2013
1971,,Menikah,112707330,0,0,74,25148,247455,26209,19224,5,3,7,0,
1958,Magister,Rencana Menikah,137695468,0,1,100,15539,96781,,16832,3,5,4,0,
1970,Sarjana,Menikah,73998000,1,0,83,72828,121380,,66759,7,4,6,0,9/9/2012
1953,Sarjana,Sendiri,101207000,0,1,46,6069,165886,22253,0,5,7,11,0,7/21/2013
1963,Magister,Rencana Menikah,169420884,0,0,55,84137,827603,230016,,1,3,10,0,
1977,Doktor,Menikah,,1,0,0,6069,143633,4046,0,2,2,8,,2/13/2013
1962,Sarjana,Sendiri,166159973,0,0,88,152852,1821926,78729,155749,0,6,10,,
1979,SMA,Rencana Menikah,164672781,0,0,21,61264,609206,125762,,1,3,9,0,
1964,Magister,Rencana Menikah,162933272,0,0,88,137907,688064,191165,105497,3,6,10,0,
1951,Sarjana,Menikah,128747947,0,0,59,31587,335001,105408,17497,1,2,6,0,
1970,Magister,Sendiri,88144585,1,0,54,,73966,33057,719,0,2,4,,
1956,Sarjana,,149255146,0,0,63,215415,925823,296954,272034,1,6,9,0,
1977,Sarjana,Sendiri,56394000,1,0,,16184,271082,18207,0,2,3,4,0,12/20/2012
1954,Magister,Sendiri,108977085,1,1,15,2023,84772,2428,1011,9,7,7,0,
1959,Sarjana,,138622039,0,0,30,,1005271,201987,129120,2,2,5,0,
1956,Sarjana,Rencana Menikah,110333199,0,1,66,35653,252616,21761,0,6,9,8,0,
1980,Magister,Rencana Menikah,175108903,0,0,17,39560,766240,15078,36620,0,9,5,0,
1954,Magister,Rencana Menikah,124075650,0,1,13,13286,125466,18057,1788,8,4,9,0,
1958,Sarjana,Rencana Menikah,99315688,0,1,85,7857,105051,9822,292,2,2,5,0,
1973,Sarjana,Sendiri,14715000,1,0,58,0,26299,24276,16184,2,3,5,0,12/26/2013
1974,Sarjana,Rencana Menikah,,0,0,52,122613,578613,141853,171226,1,10,9,0,
1960,Magister,Menikah,112749562,0,1,56,13881,147399,6906,7673,3,10,5,0,
1978,Sarjana,Rencana Menikah,138347076,0,0,4,44459,936827,255674,60877,0,7,7,0,
1974,SMA,Sendiri,147845000,0,0,68,61237,295173,985,34678,1,2,3,0,
1951,Sarjana,Rencana Menikah,136633211,0,0,9,49431,1350743,136051,42264,0,3,11,,
1975,Sarjana,Menikah,136200732,0,0,57,37862,910119,68782,120952,1,8,8,0,
1974,Sarjana,Cerai,139484462,0,0,47,21818,529586,153081,40104,4,3,10,0,
1950,SMA,Menikah,,0,0,0,150999,482023,37304,73382,0,9,7,,
1973,Sarjana,Menikah,69726180,1,0,40,1142,38019,8709,0,1,1,4,0,
1945,Magister,Rencana Menikah,164310909,0,0,70,193050,1492009,13171,85115,0,1,7,0,
1957,Sarjana,Rencana Menikah,179013929,0,0,54,80026,599274,,119136,0,6,3,0,
1968,Magister,Sendiri,108782455,0,1,,12679,162306,19790,23335,5,3,7,,
1954,Sarjana,Menikah,151665886,0,1,77,169502,340088,142379,,3,9,,0,
1955,Magister,Rencana Menikah,170132465,0,0,60,107264,873062,349556,240590,0,3,11,0,
1962,Magister,Rencana Menikah,180313308,0,0,,173886,1441258,82125,145276,,5,7,,
1968,Sarjana,Rencana Menikah,147938140,0,0,14,62372,274488,16823,5791,1,4,10,,
1984,Sarjana,Sendiri,179154008,,0,27,151476,1405101,229005,246761,0,7,9,0,
1954,Sarjana,Cerai,132954909,0,0,24,101550,1348989,65317,,1,6,8,0,
1978,Sarjana,Sendiri,97163000,0,1,46,2023,,0,8092,1,2,2,0,7/3/2013
1983,Sarjana,Rencana Menikah,67244498,1,0,,16549,77415,12687,31251,3,3,3,0,
1976,Doktor,Sendiri,171027747,0,0,86,212037,,,180636,0,6,8,0,
1980,,Sendiri,186710006,0,0,76,,1832130,67608,72459,2,3,9,0,
1972,Sarjana,Sendiri,174427435,0,0,27,90804,1507322,107038,268331,0,8,9,0,
1967,Sarjana,Sendiri,124690610,0,1,48,25802,507155,23817,33741,1,5,,0,
1990,Sarjana,Rencana Menikah,140671000,0,0,77,58667,566440,374255,117334,3,5,8,0,4/1/2013
1982,Sarjana,Menikah,166115615,0,0,16,60612,930609,69594,108714,2,3,10,0,
1977,Doktor,Sendiri,103627000,0,1,67,0,281197,22253,22253,0,5,8,0,11/30/2012
1990,Sarjana,Sendiri,185609468,0,0,,58932,402943,125293,57448,3,13,10,0,
1958,SMA,Sendiri,166493085,0,0,63,110334,1850899,234025,214722,0,5,12,0,
1975,SMP,Rencana Menikah,27755830,0,0,36,12138,25910,35731,25334,0,0,2,,
1970,SMA,Rencana Menikah,165720429,0,0,26,253548,1526666,344949,187834,0,4,9,0,
1980,Sarjana,Sendiri,162133357,0,0,,,1839866,358456,12572,1,5,5,,
1973,Sarjana,Sendiri,165168000,0,0,69,337841,534072,,50575,0,2,7,0,6/29/2014
1996,Sarjana,Sendiri,72175000,0,0,59,2023,14161,0,8092,2,0,2,0,3/28/2014
1984,Magister,Menikah,166316542,0,0,,76665,519125,67162,57182,1,6,6,0,
1973,Sarjana,Sendiri,199458366,0,0,39,85804,1650092,172585,153359,1,4,10,0,
1962,SMP,Menikah,57674000,0,0,75,18207,14161,14161,22253,0,5,,0,6/18/2014
1979,SMA,Sendiri,78774552,1,0,67,12067,64454,32297,21468,1,4,2,0,
1955,Sarjana,Sendiri,108951000,1,1,30,2023,50575,16184,4046,4,,4,0,5/30/2013
1958,Magister,Menikah,160740818,0,0,57,37401,824684,49011,67841,1,2,7,0,
1952,Magister,Menikah,134968019,0,1,62,10344,106585,12367,7403,4,4,7,0,
1966,Sarjana,Sendiri,84294783,1,0,15,0,90769,7506,9658,2,2,2,0,
1965,Doktor,Cerai,168927000,0,0,87,153748,790993,242760,2023,,2,9,0,5/6/2013
1977,Sarjana,Sendiri,79600854,1,0,30,13820,128292,11797,7671,2,7,2,0,
1969,Sarjana,Sendiri,105217740,0,0,53,17596,212518,86669,,0,2,2,0,
1982,Doktor,Menikah,123989000,1,0,63,0,273105,143633,80920,1,1,11,0,8/21/2012
1974,Sarjana,,85866146,1,0,45,19627,219139,25179,40433,7,8,6,0,
1959,SMA,Menikah,112240000,0,1,19,0,22253,0,10115,0,0,5,,3/21/2014
1979,SMA,Rencana Menikah,164645031,0,0,22,63031,602608,130534,123826,1,3,9,0,
1978,Sarjana,Sendiri,42713910,1,0,50,8478,6453,771,14451,2,1,6,0,
1958,SMA,Rencana Menikah,110971271,0,1,47,15687,60156,3016,0,4,5,7,0,
1999,Sarjana,Sendiri,38147109,1,0,64,,38437,54643,1941,3,6,4,0,
1958,Sarjana,Menikah,158821305,0,0,65,56732,1507216,159438,293320,2,3,5,0,
1978,SMA,Rencana Menikah,29618765,1,0,48,6085,27653,6052,54137,3,2,4,0,
1964,,Cerai,,0,1,64,9519,398732,99344,76865,5,6,10,0,
1991,SMA,Rencana Menikah,142839072,0,,76,101938,1367288,53935,,2,5,9,0,
1977,SMA,Sendiri,103517649,0,0,56,39141,258688,35951,45962,5,7,,0,
1963,Sarjana,Rencana Menikah,108832439,0,0,18,187982,905430,77137,34447,2,5,6,0,
1976,Sarjana,,78360332,1,0,11,2402,29662,480,0,1,3,2,0,
1960,Sarjana,Sendiri,138357738,0,0,30,74339,1003489,218280,137727,1,2,5,0,
1958,Magister,Menikah,103532012,,1,75,5556,437360,158126,118546,,5,7,0,
1968,Doktor,Sendiri,93198422,0,0,78,4850,183484,47757,17030,5,5,5,0,
1961,Sarjana,Rencana Menikah,179932405,0,0,31,148172,1373597,113202,49359,3,5,7,0,
1955,Doktor,Menikah,122645235,0,1,5,2119,83463,,9105,5,8,8,0,
1980,Magister,Menikah,95124000,1,0,81,0,24276,4046,6069,2,3,4,0,
1967,Sarjana,Sendiri,191777114,0,0,72,121817,1717050,91621,25779,1,4,7,0,
1983,Doktor,Menikah,183142149,0,0,48,85809,1010674,95578,73946,0,8,11,0,
1962,Magister,Rencana Menikah,177562000,0,0,85,180047,833476,151725,260967,1,8,9,0,
1966,Sarjana,Rencana Menikah,46486000,1,0,71,6069,34391,10115,0,2,5,2,0,1/25/2014
1970,Sarjana,Menikah,160047000,1,0,75,248829,422807,24276,250852,3,,5,0,5/27/2013
1989,SMA,Sendiri,104291236,0,0,33,61427,392859,64014,64532,5,6,2,0,
1957,Sarjana,Menikah,94224000,0,0,73,80920,,311542,125426,3,5,12,0,4/9/2013
1960,Magister,Sendiri,151006977,1,1,52,146602,541863,22298,6367,1,6,11,0,
1972,Magister,Menikah,151471720,0,0,34,33380,556190,55851,38223,2,3,8,0,
1958,Doktor,Rencana Menikah,121868626,0,1,70,15989,151507,6688,6688,1,7,9,0,
1969,Doktor,Menikah,120677000,0,1,33,0,36414,6069,0,0,4,3,0,10/30/2013
1991,Sarjana,Sendiri,38016000,1,0,53,10115,38437,40460,10115,3,5,5,0,11/22/2013
1975,Sarjana,Sendiri,85034246,1,0,33,22486,89125,16117,22386,4,4,4,0,
1973,Doktor,Sendiri,121732000,0,1,73,,38437,10115,,1,7,,0,2/5/2014
1965,Magister,Sendiri,124210686,0,1,59,80610,269176,68549,10851,2,5,9,0,
1977,Magister,Sendiri,76564320,1,0,30,8173,212152,38143,9381,4,6,5,0,
1955,Magister,Rencana Menikah,170085422,0,0,60,106055,874755,352168,246589,0,,11,0,
1983,SMP,Sendiri,48986373,1,0,28,17687,39761,51273,10115,2,,2,0,
1966,Sarjana,Sendiri,82988422,1,0,13,10919,27701,16230,26528,2,4,1,0,
1976,Doktor,Cerai,140030717,0,1,99,36989,237580,82125,100129,4,4,9,0,
1941,Sarjana,Rencana Menikah,108413300,0,0,23,67655,207910,97141,17348,,9,4,0,
1974,Sarjana,Sendiri,59289667,1,0,43,2352,49847,4039,3024,1,0,2,,
1958,Magister,Rencana Menikah,155964994,0,0,22,49983,,94641,72138,2,,6,0,
1995,Sarjana,Sendiri,16906438,0,0,73,44738,189597,7528,40128,20,2,2,0,
1950,Doktor,Menikah,,0,1,8,0,10746,2276,1517,3,1,0,0,
1989,Magister,Rencana Menikah,184281052,0,0,90,269540,1352279,,177449,2,4,6,0,
1967,Sarjana,Menikah,154389000,0,0,9,147679,610946,317611,293335,0,3,6,0,6/22/2013
1959,SMA,Rencana Menikah,166517160,0,0,33,133927,1664009,397228,260493,0,7,11,0,
1969,Sarjana,Menikah,64002000,1,0,8,8092,10115,6069,8092,0,0,,0,3/21/2014
1961,Doktor,Menikah,116048413,0,1,106,135321,1035674,170439,117935,5,2,9,0,
1968,Doktor,Menikah,155773508,0,0,22,,840496,247904,104250,1,4,7,0,
1956,Magister,Menikah,80458082,1,1,19,1630,2352,1176,4892,1,0,4,0,
1953,Sarjana,Rencana Menikah,96720614,0,1,20,13515,333898,39230,70940,4,9,6,0,
1962,Sarjana,Sendiri,156995823,,0,61,156817,1289155,174692,58737,0,1,,0,
1956,,,124319810,0,0,86,23988,153239,29319,6663,1,10,8,0,
1970,Magister,Sendiri,61379333,1,0,30,7085,9139,7075,0,2,,3,0,
1960,Sarjana,Menikah,109893653,0,0,11,40876,253489,55658,13418,5,6,5,0,
1964,,Sendiri,37120783,0,0,,9067,61427,36937,26965,4,1,5,0,
1971,,Cerai,52502000,1,0,18,0,52598,12138,6069,1,6,4,0,9/16/2012
1963,Doktor,Menikah,117261771,0,0,71,6436,124721,1604,4848,2,3,9,0,
1977,SMA,Rencana Menikah,29747055,1,0,68,,29148,,74157,4,2,4,0,
1971,Sarjana,Sendiri,163409566,,0,31,96417,603097,190263,,1,5,9,0,
1981,Magister,Menikah,92059000,1,0,,24276,58667,,10115,0,0,1,0,4/2/2013
1955,Sarjana,Menikah,,1,0,32,3291,7923,3018,8228,0,2,4,0,
1959,SMA,Menikah,166511337,,0,50,130005,1681431,312281,241818,0,8,10,0,
1988,Sarjana,Menikah,151914000,0,0,26,323680,1258306,121380,60690,0,10,13,,12/21/2013
1975,Sarjana,Rencana Menikah,51358000,1,1,42,12138,34391,32368,16184,5,3,2,0,1/14/2013
1944,Magister,Rencana Menikah,139668000,0,0,30,109242,552279,196231,10115,3,4,5,0,4/23/2014
1969,Magister,Sendiri,170116516,0,0,69,164138,1184355,220351,201382,0,5,8,0,
1962,Magister,Rencana Menikah,,0,1,68,,146772,23716,,1,7,5,0,
1953,Sarjana,Menikah,105639109,0,1,57,2023,23654,2988,8869,0,0,2,0,
1984,Sarjana,Sendiri,142745000,0,0,67,95081,1090397,44506,0,3,0,10,0,10/3/2012
1959,SMA,Rencana Menikah,,1,1,62,16184,58667,2023,0,5,6,7,0,5/16/2013
1969,Sarjana,Rencana Menikah,179475520,0,0,32,304671,1363556,188701,286961,0,7,3,0,
1982,SMA,Rencana Menikah,54566783,1,,27,6008,10840,10737,9475,2,4,,0,
1968,Sarjana,Rencana Menikah,150502991,,0,15,200724,1476057,211056,212900,2,9,5,0,
1973,SMA,Menikah,141849364,0,0,43,73743,1019059,133597,16383,1,8,6,0,
1978,Sarjana,,78139771,1,0,13,758,,151,0,1,,2,0,
1960,,Rencana Menikah,93851000,0,1,2,0,14161,0,0,2,2,5,0,11/12/2013
1978,SMP,Rencana Menikah,39820851,0,0,25,12358,12818,7650,13039,0,0,2,0,
1976,Magister,Cerai,159047869,0,0,8,107224,1727463,36451,163853,0,6,3,0,
1964,Sarjana,Rencana Menikah,130441229,0,1,94,49688,781481,148214,83577,1,3,6,0,
1973,Doktor,Rencana Menikah,119738026,0,1,43,2918,,7427,4479,2,3,4,0,
1960,Sarjana,Menikah,121442820,0,1,61,54536,163749,15320,73903,3,4,6,0,
1984,SMA,Menikah,115001184,1,0,67,66230,235832,67824,64157,5,5,5,0,
1955,Sarjana,Sendiri,152051390,0,0,40,,335894,,74774,3,10,3,0,
1973,Sarjana,Rencana Menikah,147837784,0,0,68,60652,292222,259,34353,1,3,3,0,
1978,Sarjana,Rencana Menikah,130077116,0,0,62,106987,526223,106888,254301,1,4,8,0,
1974,Doktor,Menikah,119936000,1,1,78,2023,76874,10115,0,3,3,4,0,11/19/2013
1957,Sarjana,Cerai Mati,,0,0,70,40460,1068144,72828,,3,8,3,0,9/21/2012
1975,Sarjana,Menikah,92709000,1,1,9,24276,220507,36414,26299,9,6,11,0,7/20/2013
1959,Magister,Sendiri,109441579,1,1,12,6630,134980,7956,3315,9,7,7,0,
1954,Magister,Rencana Menikah,153079656,0,,52,216006,529858,296034,,0,10,6,0,
1976,Magister,Menikah,,0,0,44,95351,633579,74049,9650,0,,8,,
1973,SMA,Rencana Menikah,83001000,1,1,95,0,6069,8092,0,3,0,4,0,9/18/2012
1963,Magister,Menikah,169398394,0,0,52,74647,1071062,99356,116750,0,4,10,0,
1954,Sarjana,Rencana Menikah,188653237,0,0,,100838,1523838,378563,,0,3,8,0,
1980,Magister,Sendiri,64404588,,0,57,9611,26823,4549,,1,1,3,0,
1950,Magister,Cerai,134984477,0,,8,14602,239819,26483,17513,4,5,8,0,
1961,Sarjana,Cerai,134945000,0,1,54,48552,256921,24276,40460,3,5,4,0,
1969,Sarjana,Rencana Menikah,120175397,0,1,24,20230,190951,13889,43371,0,7,8,0,
1967,Sarjana,Rencana Menikah,125853986,0,0,73,25696,479296,67937,64204,0,3,7,0,
1978,Doktor,Sendiri,116230000,1,,50,167909,279174,208369,101150,4,6,9,0,2/27/2013
1966,Magister,Sendiri,140368665,0,0,36,40642,991666,33945,66766,4,2,4,0,
1978,Sarjana,Menikah,108321000,0,1,53,18207,317611,44506,0,4,,7,0,2/5/2013
1968,Sarjana,Menikah,95078507,,1,31,2749,44506,1453,0,4,4,6,,
1988,SMA,Rencana Menikah,106603487,1,0,30,182381,474835,14472,69871,2,8,7,0,
1972,Sarjana,Cerai Mati,88426723,1,0,83,28136,206699,18390,9562,4,7,1,0,
1953,Magister,Rencana Menikah,134796209,0,1,66,9394,117471,13578,7515,3,4,7,0,
1971,Magister,Sendiri,191753823,0,0,,123021,1091814,339584,158101,0,3,8,0,
1977,Magister,Rencana Menikah,133906000,0,1,3,0,463267,28322,38437,3,4,9,0,11/17/2013
1974,Doktor,Rencana Menikah,73453650,1,0,48,0,10497,1312,0,0,0,1,0,
1976,Sarjana,Rencana Menikah,55839000,1,0,47,2023,24276,28322,20230,3,0,6,0,2/10/2014
1970,Sarjana,Menikah,157185000,0,1,85,58667,859775,24276,388416,4,7,3,0,9/14/2013
1961,Doktor,Menikah,161282000,0,1,0,188139,663544,339864,103173,3,7,13,0,10/11/2013
1968,Sarjana,Rencana Menikah,120678000,0,1,51,14161,224553,78897,52598,5,10,13,0,6/24/2013
1981,Sarjana,Rencana Menikah,77965406,0,0,9,6509,26214,24936,36722,1,2,0,0,
1943,Doktor,Sendiri,127494000,0,0,71,32368,530026,161840,135541,1,6,8,0,4/26/2014
1972,Magister,Menikah,76312000,1,0,46,2023,78897,10115,6069,0,0,3,0,9/22/2013
1987,SMA,Cerai,70066000,1,,24,2023,8092,6069,0,0,0,4,0,3/8/2013
1972,Sarjana,Rencana Menikah,173929485,0,0,10,99149,1317729,107387,301298,0,7,7,0,
1947,Sarjana,Menikah,83934000,0,0,47,26299,20230,42483,10115,2,4,5,0,9/4/2013
1959,SMA,Sendiri,166355549,0,0,81,114636,1941971,127894,175999,0,4,12,0,
1978,Sarjana,Rencana Menikah,53627560,0,0,15,27615,56450,13293,29991,2,4,2,0,
1976,Sarjana,Sendiri,181636485,0,0,48,309161,1918869,231754,245784,0,5,8,0,
1973,SMA,Menikah,49103000,1,0,,8092,,4046,6069,0,,3,0,11/30/2012
1981,Sarjana,Menikah,84236876,1,0,64,23334,175914,5598,36884,4,6,5,0,
1965,Sarjana,Rencana Menikah,85103041,1,0,22,,155603,8583,18753,4,4,,0,
1956,Sarjana,Menikah,130944263,0,,10,74513,872120,74786,36617,2,4,4,0,
1959,Magister,Cerai,134102621,0,0,1,,900362,159271,,0,2,6,0,
1962,Magister,Menikah,86461987,0,0,14,256422,283013,131987,81327,0,8,7,0,
1952,Magister,Rencana Menikah,164834512,0,0,78,206346,1576608,17317,104186,,4,8,0,
1974,Magister,Menikah,119790109,0,1,79,,112093,17863,33810,3,3,6,0,
1984,Sarjana,Menikah,166459000,0,0,25,265013,1549618,52598,378301,2,3,7,0,4/3/2013
1978,Sarjana,Sendiri,40859694,0,0,8,12972,17874,20689,5694,0,1,1,0,
1970,Sarjana,Rencana Menikah,104263684,0,0,28,34513,419205,180818,64179,1,,3,0,
1992,Sarjana,Sendiri,61008435,1,0,46,601,32585,24058,1855,0,4,2,0,
1980,SMA,Rencana Menikah,139701000,0,0,,198254,912373,445060,204323,0,4,8,0,9/28/2012
1972,SMP,Rencana Menikah,57341000,1,0,18,8092,4046,,6069,0,4,0,0,8/17/2013
1989,Sarjana,Rencana Menikah,45076000,1,0,31,26299,24276,12138,34391,4,5,5,0,2/10/2013
1963,SMA,Rencana Menikah,164188357,0,0,51,80291,546857,247148,163779,0,4,10,0,
1956,Magister,Menikah,,0,1,,8092,52598,18207,0,3,5,5,0,12/30/2013
1965,Sarjana,Rencana Menikah,131453241,0,1,103,75299,157827,27373,89743,3,5,3,0,
1960,Magister,Menikah,113232360,0,1,53,7908,119770,3172,9540,3,10,4,0,
1972,Magister,Sendiri,159339000,0,0,44,44506,1242122,163863,127449,0,6,10,0,4/13/2013
1961,Magister,Rencana Menikah,72031421,1,0,38,6496,41373,2042,,6,1,5,0,
1968,Sarjana,Menikah,161427726,,0,60,25291,503553,107888,78508,3,4,6,0,
1984,Magister,Rencana Menikah,183033272,0,0,36,121483,396122,136445,111978,0,7,10,0,
1965,Sarjana,Menikah,151097693,0,0,82,171134,542058,128104,125208,2,9,6,0,
1969,Magister,Rencana Menikah,107051205,0,1,61,21995,102216,28734,6767,1,4,12,0,
1974,Doktor,Menikah,154918516,0,0,13,,968873,343613,156976,1,3,5,0,
1970,Sarjana,Rencana Menikah,128080540,0,1,22,0,324656,36561,26078,1,6,7,0,
1949,Magister,Menikah,,0,,91,,106272,,5152,1,5,5,0,
1973,Sarjana,Rencana Menikah,119674666,0,1,15,20067,179803,10054,52415,1,6,8,0,
1968,Magister,Rencana Menikah,118143133,0,,85,5796,143516,544,15134,3,6,6,0,
1973,Doktor,Menikah,135013000,0,1,42,0,894166,54621,133518,5,9,12,0,5/21/2013
1975,Sarjana,Menikah,131765371,0,0,71,53835,499327,60749,52085,1,5,12,0,
1958,Magister,Menikah,139553710,0,,62,9608,104187,3251,0,3,,,0,
1943,Sarjana,Rencana Menikah,107872693,0,0,29,56128,198829,82471,14204,1,9,4,0,
1969,SMA,Rencana Menikah,165810335,0,,26,240050,1542164,350848,196033,0,4,9,0,
1976,Doktor,Menikah,174526000,0,0,,38437,1703366,42483,194208,2,7,7,0,5/28/2014
1986,Sarjana,Sendiri,174434922,0,0,91,104717,368676,77998,84663,0,4,12,0,
1978,,Menikah,146454000,2,0,32,254898,354025,32368,119357,0,8,9,0,3/10/2014
1976,,Sendiri,15356197,0,1,89,18058,43704,20205,15036,2,11,2,0,
1968,Sarjana,Rencana Menikah,147933950,0,0,17,62296,275245,16066,7077,1,4,10,0,
1981,Sarjana,Rencana Menikah,83083000,1,1,17,16184,46529,0,0,3,3,2,0,12/12/2012
1975,Sarjana,Menikah,158163566,0,0,86,48892,821629,480589,24479,1,1,8,0,
1976,Sarjana,Sendiri,97117000,,0,27,40460,48552,89012,36414,,2,3,0,12/23/2013
1972,Magister,Sendiri,80732848,1,,,11531,66892,2023,9440,3,4,2,0,
1964,Sarjana,Sendiri,63409537,1,0,17,1512,28490,5690,5558,3,4,3,0,
1951,Sarjana,Rencana Menikah,98962000,0,1,36,26299,159817,12138,24276,5,6,6,1,1/14/2013
1962,Magister,Rencana Menikah,100005938,0,1,59,1616,40519,4046,812,3,4,4,0,
1978,SMP,,52877470,1,0,47,6069,19011,49619,0,2,0,0,,
1960,Sarjana,Sendiri,185666280,0,0,78,68549,912702,207150,,,3,6,0,
1972,Sarjana,Sendiri,45161000,1,0,76,0,24276,14161,6069,,,2,0,8/3/2013
1983,SMA,,66058000,0,0,15,16184,4046,10115,,2,0,2,0,7/5/2013
1961,Magister,Menikah,66081847,0,1,91,20978,58327,17680,5694,0,2,4,0,
1980,SMA,Rencana Menikah,165021521,0,0,20,358483,1406186,299089,,0,2,8,0,
1957,Sarjana,Menikah,151895227,0,1,66,158313,336680,168404,61209,3,10,7,0,
1972,Sarjana,Sendiri,139478044,0,0,39,110374,341470,36378,147488,,8,4,0,
1975,,Menikah,49038025,1,0,63,2596,19094,30377,23421,1,2,3,0,
1952,Sarjana,Cerai,43427000,1,1,34,,0,,10115,0,,5,1,3/30/2014
1976,SMA,Menikah,114051393,0,0,73,76855,257590,75296,70897,4,5,8,0,
1973,Sarjana,Menikah,138318921,0,0,33,26766,622580,184366,,2,6,9,0,
1957,Sarjana,Rencana Menikah,178997000,0,1,54,78897,582624,105196,115311,0,7,3,0,5/25/2013
1982,Sarjana,Sendiri,128058000,0,1,54,97104,208369,113288,70805,3,1,10,0,8/9/2013
1975,SMA,Menikah,40830000,0,0,100,8092,0,16184,14161,2,0,3,0,3/18/2014
1959,Sarjana,Cerai,161228963,0,0,36,38437,898677,287377,27110,4,1,8,0,
1946,Sarjana,Menikah,151464000,0,0,18,161840,1252237,,360094,0,3,,0,2/18/2014
